Y,t
1421.86,872
1410.1,873
1425.8199,874
1411.97,875
1409.48,876
1421.03,877
1437.61,878
1425.97,879
1453.0699,880
1458.51,881
1450.51,882
1430.96,883
1444.7,884
1453,885
1448.02,886
1438.86,887
1421.11,888
1437.89,889
1416.88,890
1430.35,891
1431.1,892
1420.96,893
1445.7,894
1442.58,895
1432.3101,896
1429.91,897
1434.33,898
1419.64,899
1423.51,900
1398.42,901
1401.01,902
1411.27,903
1416.3,904
1421.01,905
1435.17,906
1426.55,907
1435.96,908
1436.4301,909
1449.65,910
1453.45,911
1450.61,912
1454.98,913
1440.17,914
1441.11,915
1445.51,916
1445.84,917
1454.7,918
1462.3,919
1482.61,920
1489.25,921
1491.77,922
1482.24,923
1497.22,924
1484.9301,925
1467.29,926
1475.72,927
1478.9399,928
1473.4301,929
1494.5,930
1489.7,931
1509.47,932
1504.74,933
1485.16,934
1494.1899,935
1465.66,936
1457.09,937
1448.03,938
1462.2,939
1446.77,940
1479.23,941
1482.36,942
1496.3199,943
1502.86,944
1510.05,945
1502.65,946
1509.86,947
1509,948
1519.6,949
1525.6,950
1521.95,951
1526.8,952
1511.1801,953
1518.97,954
1520.9301,955
1498.28,956
1503.26,957
1496.2,958
1499.4301,959
1522.21,960
1524.41,961
1523.12,962
1528.62,963
1540.71,964
1532.34,965
1530.54,966
1539.75,967
1533.02,968
1524.26,969
1523.47,970
1541.49,971
1541.3,972
1529.84,973
1520.0699,974
1506.3199,975
1518.51,976
1505.76,977
1508.21,978
1532.6899,979
1535.49,980
1542.39,981
1542.0699,982
1559.5,983
1554.42,984
1552.09,985
1559.47,986
1547.52,987
1558.96,988
1545.6801,989
1544.3101,990
1562.23,991
1566.5,992
1557.66,993
1568.02,994
1570.15,995
1588.9,996
1588.1899,997
1594.4301,998
1598.9301,999
1596.05,1000
1598.75,1001
1619.16,1002
1619.59,1003
1622.9399,1004
1618.05,1005
1638.1,1006
1640.3101,1007
1644.6,1008
1652.83,1009
1638.14,1010
1646.03,1011
1637.33,1012
1650.96,1013
1653.21,1014
1664.5699,1015
1663.03,1016
1676.0699,1017
1670.73,1018
1667.26,1019
1687.4399,1020
1670.91,1021
1648.4399,1022
1657.09,1023
1652.73,1024
1658.79,1025
1659.92,1026
1646.29,1027
1649.35,1028
1670.14,1029
1666.16,1030
1674.55,1031
1693.03,1032
1684.92,1033
1675.86,1034
1692.22,1035
1684.9,1036
1678.01,1037
1673.71,1038
1669.2,1039
1666.42,1040
1673.34,1041
1675.63,1042
1675.7,1043
1691.9,1044
1681.88,1045
1685.17,1046
1690.83,1047
1693.76,1048
1679.74,1049
1670.0699,1050
1645.79,1051
1621.21,1052
1641.42,1053
1617.91,1054
1627.03,1055
1646.29,1056
1644.21,1057
1625.84,1058
1604.8,1059
1602.67,1060
1598.85,1061
1625.01,1062
1623.36,1063
1644.75,1064
1651.4301,1065
1650.42,1066
1659.16,1067
1673.41,1068
1686.24,1069
1683.23,1070
1672.14,1071
1670.36,1072
1679.02,1073
1655.99,1074
1654.17,1075
1655.15,1076
1663.62,1077
1665.4,1078
1639.49,1079
1648.3101,1080
1671.63,1081
1672.62,1082
1665.2,1083
1668.99,1084
1646.2,1085
1634.16,1086
1624.51,1087
1639.46,1088
1642.5,1089
1645.65,1090
1634.75,1091
1612.3101,1092
1595.38,1093
1607.9399,1094
1611.15,1095
1610.05,1096
1609.12,1097
1592.23,1098
1603.14,1099
1599.29,1100
1600.0601,1101
1606.49,1102
1609.22,1103
1635.14,1104
1638.16,1105
1647.65,1106
1646.8,1107
1647.5699,1108
1653.67,1109
1641.4301,1110
1650.08,1111
1676.48,1112
1679.21,1113
1663.38,1114
1671.02,1115
1655,1116
1664.92,1117
1667.23,1118
1665.02,1119
1669.39,1120
1662.46,1121
1668.55,1122
1682.75,1123
1678.0699,1124
1668.9301,1125
1667.61,1126
1671.84,1127
1678.83,1128
1661.53,1129
1656.33,1130
1642.84,1131
1646.36,1132
1632.89,1133
1638.42,1134
1640.73,1135
1641.96,1136
1636.62,1137
1629.58,1138
1621.8101,1139
1621.09,1140
1632.52,1141
1610.88,1142
1615.27,1143
1599.62,1144
1596.48,1145
1612.33,1146
1613.5,1147
1621.35,1148
1623.26,1149
1630.48,1150
1620.28,1151
1619,1152
1592.64,1153
1568.0699,1154
1569.96,1155
1590.35,1156
1586.4301,1157
1567.95,1158
1570.4399,1159
1591.9399,1160
1595.5699,1161
1615.72,1162
1609.97,1163
1620.47,1164
1616.6801,1165
1617.46,1166
1630.49,1167
1630.6801,1168
1634.83,1169
1622.28,1170
1629.83,1171
1632.8199,1172
1651.14,1173
1644.25,1174
1655.65,1175
1648.52,1176
1651.65,1177
1659.84,1178
1663.1,1179
1666.8199,1180
1655.1,1181
1659.78,1182
1667.25,1183
1657.88,1184
1668.39,1185
1645.17,1186
1637.8199,1187
1640.4,1188
1630.67,1189
1640.62,1190
1647.79,1191
1647.48,1192
1672.49,1193
1678.1,1194
1677.09,1195
1688.83,1196
1672.08,1197
1659.51,1198
1662.84,1199
1659.0699,1200
1647.13,1201
1631.8101,1202
1639.08,1203
1647.7,1204
1631.74,1205
1632.49,1206
1636.76,1207
1620.85,1208
1619.48,1209
1643.5699,1210
1665.01,1211
1668.55,1212
1672.65,1213
1673.11,1214
1673.16,1215
1692.22,1216
1719.64,1217
1726.34,1218
1724.59,1219
1724.08,1220
1722.67,1221
1738.3199,1222
1754.33,1223
1753.99,1224
1741.72,1225
1751.5699,1226
1753.97,1227
1734.45,1228
1744.71,1229
1744.3101,1230
1751.55,1231
1753.09,1232
1747.34,1233
1740.33,1234
1766.9,1235
1765.37,1236
1766.63,1237
1765.33,1238
1745.84,1239
1754.75,1240
1764.35,1241
1762.51,1242
1778.54,1243
1785.51,1244
1789.14,1245
1785.51,1246
1772.1899,1247
1772.87,1248
1788.9301,1249
1795.66,1250
1796.49,1251
1788.76,1252
1801.58,1253
1801.71,1254
1801.98,1255
1799.55,1256
1784.96,1257
1764.3,1258
1758.0699,1259
1764.63,1260
1762.12,1261
1768.17,1262
1757.51,1263
1764.72,1264
1749.48,1265
1759.98,1266
1777.04,1267
1760.28,1268
1746.61,1269
1735.4301,1270
1729.33,1271
1736.25,1272
1744.72,1273
1745.58,1274
1740.96,1275
1755.6801,1276
1767.79,1277
1773.63,1278
1769.26,1279
1788.8199,1280
1786.92,1281
1788.16,1282
1773.28,1283
1780.8,1284
1793.54,1285
1794.98,1286
1801.0601,1287
1801.59,1288
1787.41,1289
1788.65,1290
1762.76,1291
1772.76,1292
1787.34,1293
1804.17,1294
1792.63,1295
1802.79,1296
1802.92,1297
1803.51,1298
1820.88,1299
1825.7,1300
1817.12,1301
1798.79,1302
1802.2,1303
1789.01,1304
1799.14,1305
1785.61,1306
1771.35,1307
1774.55,1308
1773.72,1309
1764.98,1310
1747.03,1311
1748.28,1312
1746.62,1313
1750.89,1314
1737.9399,1315
1762.09,1316
1760.89,1317
1749.45,1318
1754.4301,1319
1762.3199,1320
1766.6899,1321
1777.35,1322
1762.52,1323
1762.5601,1324
1772.4399,1325
1751.77,1326
1734.25,1327
1705.26,1328
1710.27,1329
1720.4301,1330
1697.74,1331
1731.27,1332
1719.66,1333
1734.5601,1334
1719.09,1335
1726.21,1336
1707.13,1337
1727.49,1338
1735.4301,1339
1733.95,1340
1755.92,1341
1751.47,1342
1749.65,1343
1760.87,1344
1742.0601,1345
1750.26,1346
1732.89,1347
1725.15,1348
1742.74,1349
1755.1,1350
1773.01,1351
1781.28,1352
1778.59,1353
1785.46,1354
1785.8,1355
1779.8101,1356
1791.41,1357
1793.34,1358
1782.46,1359
1799.15,1360
1802.1899,1361
1789.83,1362
1792.14,1363
1791.89,1364
1788.3,1365
1797.72,1366
1793.51,1367
1798.0699,1368
1802.73,1369
1806.78,1370
1813.35,1371
1822.35,1372
1821.0601,1373
1817.36,1374
1817.8,1375
1798.49,1376
1784.77,1377
1783.45,1378
1800.0699,1379
1797.73,1380
1784.99,1381
1789.85,1382
1805.6801,1383
1791.05,1384
1795.55,1385
1816.52,1386
1827.91,1387
1832.15,1388
1833.98,1389
1838.8,1390
1840.9301,1391
1830.75,1392
1843.0699,1393
1852.02,1394
1839.8,1395
1849.8101,1396
1842.85,1397
1846.04,1398
1854.72,1399
1865.64,1400
1851.37,1401
1853.13,1402
1866.28,1403
1868.0601,1404
1854.3,1405
1840.1899,1406
1835.37,1407
1847.76,1408
1845.16,1409
1858.4301,1410
1847.3101,1411
1852.78,1412
1830.99,1413
1832.8199,1414
1831.09,1415
1832.29,1416
1835.3199,1417
1829.11,1418
1817.22,1419
1821.46,1420
1810.52,1421
1821.5601,1422
1815.97,1423
1834.48,1424
1836.37,1425
1831.0601,1426
1854.23,1427
1859,1428
1852,1429
1866.74,1430
1865.45,1431
1851.87,1432
1845.84,1433
1846.76,1434
1862.11,1435
1851.74,1436
1837.2,1437
1820.49,1438
1827.54,1439
1828.54,1440
1829.05,1441
1829.13,1442
1831.3199,1443
1847.62,1444
1849.33,1445
1846.17,1446
1827.96,1447
1801.4,1448
1794.04,1449
1800.71,1450
1787.8,1451
1784.22,1452
1773.6,1453
1772.36,1454
1787.01,1455
1792.33,1456
1774.3199,1457
1801.01,1458
1774.02,1459
1776.73,1460
1806.59,1461
1802.3,1462
1794.5601,1463
1776.01,1464
1805.5601,1465
1818.5,1466
1812.11,1467
1830.4301,1468
1838.86,1469
1839.16,1470
1843.27,1471
1837.8,1472
1841,1473
1856.9,1474
1862.5601,1475
1861.25,1476
1854.28,1477
1857.97,1478
1875.49,1479
1883.99,1480
1893.9301,1481
1903.66,1482
1910.39,1483
1914.41,1484
1898.37,1485
1898.74,1486
1887.28,1487
1910.23,1488
1910.86,1489
1906.42,1490
1908.89,1491
1899.6899,1492
1897.5699,1493
1902.92,1494
1904.59,1495
1915.3,1496
1923.4399,1497
1920.85,1498
1915.4,1499
1904.21,1500
1903.8101,1501
1908.65,1502
1917.16,1503
1918.25,1504
1899.9301,1505
1902.74,1506
1897.2,1507
1887.9399,1508
1918.96,1509
1926.39,1510
1926.4399,1511
1945.02,1512
1952.13,1513
1951.53,1514
1958.5601,1515
1946.28,1516
1948.64,1517
1941.5699,1518
1934.21,1519
1944.98,1520
1909.35,1521
1912.91,1522
1917.54,1523
1914.28,1524
1928.17,1525
1943.34,1526
1945.66,1527
1937.9301,1528
1941.75,1529
1924.67,1530
1914.5,1531
1916.04,1532
1900.58,1533
1917.84,1534
1915.1,1535
1920,1536
1914.02,1537
1933.46,1538
